			[*strength.w=>-p]	[*footmin-s-noHX]	[*footmin-wordbound-lexmono]	[*skip_initial_foot]
	SOME|cor|DIAL|en|DEAR.ING|re|PORT			1		
	SOME|cor|DIAL|en.dear|ING|re|PORT		1			
	SOME|cor.dial|EN|dear|ING|re|PORT		1			
	some|COR|dial|EN|dear|ING|re|PORT		1			
	some.cor|DIAL|en|DEAR|ing|RE|port		1			
	some.cor|DIAL|en|DEAR|ing|RE.PORT			1		
	some.cor|DIAL|en|DEAR|ing.re|PORT				1	
	some.cor|DIAL|en|DEAR.ING|re|PORT			1		
	some.cor|DIAL|en.dear|ING|re|PORT		1			
Of a land I shall visit no more!	of|A|land|I|shall|VIS|it|NO|more					
	of|A|land|I|shall|VIS.IT|no|MORE					
	OF|a|LAND|i.shall|VIS|it|NO|more					
	OF|a|LAND|i.shall|VIS.IT|no|MORE					
	of.a|LAND|i.shall|VIS|it|NO|more					
	of.a|LAND|i.shall|VIS.IT|no|MORE					
My friends, do they now and then send	my|FRIENDS|do.they|NOW|and.then|SEND	2				
	MY|friends|DO|they|NOW|and|THEN|send					
	my|FRIENDS|do|THEY|now|AND|then|SEND					
	MY|friends|DO|they|NOW|and.then|SEND					
	my|FRIENDS|do.they|NOW|and|THEN|send					
A wish or a thought after me?	a|WISH|or.a|THOUGHT|af.ter|ME [*Bounded]	2	1			
	a|WISH|or|A|thought|AF|ter|ME					
	a|WISH|or|A|thought|AF|ter.me					
Oh tell me I yet have a friend,	oh|TELL|me.i|YET|have.a|FRIEND	2				
	OH|tell|ME|i|YET|have|A|friend					
	oh|TELL|me|I|yet|HAVE|a|FRIEND					
	OH|tell|ME|i|YET|have.a|FRIEND					
	oh|TELL|me|I|yet.have|A|friend					
	oh|TELL|me.i|YET|have|A|friend					
	OH|tell|ME|i.yet|HAVE|a|FRIEND					
Though a friend I am never to see.	though.a|FRIEND|i.am|NEV|er.to|SEE	2				
	though|A|friend|I|am|NEV|er|TO|see					
	though|A|friend|I|am|NEV|er.to|SEE					
	though|A|friend|I|am|NEV.ER|to|SEE					
	THOUGH|a|FRIEND|i.am|NEV|er|TO|see					
	THOUGH|a|FRIEND|i.am|NEV|er.to|SEE					
	THOUGH|a|FRIEND|i.am|NEV.ER|to|SEE					
	though.a|FRIEND|i.am|NEV|er|TO|see					
	though.a|FRIEND|i.am|NEV.ER|to|SEE					
How fleet is a glance of the mind!	how|FLEET|is.a|GLANCE|of.the|MIND	2				
	HOW|fleet|IS|a|GLANCE|of|THE|mind					
	HOW|fleet|IS|a|GLANCE|of.the|MIND					
	how|FLEET|is|A|glance|OF|the|MIND					
	how|FLEET|is.a|GLANCE|of|THE|mind					
Compared with the speed of its flight,	com|PARED|with.the|SPEED|of.its|FLIGHT	2				
	COM|pared|WITH|the|SPEED|of|ITS|flight					
	COM|pared|WITH|the|SPEED|of.its|FLIGHT					
	COM|pared.with|THE|speed|OF|its|FLIGHT					
	com|PARED|with|THE|speed|OF|its|FLIGHT					
	com|PARED|with.the|SPEED|of|ITS|flight					
	com.pared|WITH|the|SPEED|of|ITS|flight					
	com.pared|WITH|the|SPEED|of.its|FLIGHT					
The tempest itself lags behind,	THE|tem|PEST|it|SELF|lags|BE.HIND					
	the.tem|PEST|it|SELF|lags|BE.HIND					
And the swift winged arrows of light.	AND|the|SWIFT|winged|AR|rows|OF|light					
	AND|the|SWIFT|winged|AR|rows.of|LIGHT					
	AND|the|SWIFT|winged|AR.ROWS|of|LIGHT					
	and.the|SWIFT|winged|AR|rows|OF|light					
	and.the|SWIFT|winged|AR|rows.of|LIGHT					
	and.the|SWIFT|winged|AR.ROWS|of|LIGHT					
When I think of my own native land,	WHEN|i|THINK|of|MY|own|NA|tive|LAND					
	when|I|think|OF|my.own|NA|tive|LAND					
	when.i|THINK|of|MY|own|NA|tive|LAND					
In a moment I seem to be there;	in.a|MO|ment.i|SEEM|to.be|THERE	2				
	IN|a|MO|ment|I|seem|TO|be|THERE					
	IN|a.mo|MENT|i|SEEM|to|BE|there					
	in.a|MO|ment|I|seem|TO|be|THERE					
	IN|a|MO|ment|I|seem|TO|be.there					
	IN|a.mo|MENT|i|SEEM|to.be|THERE					
	in.a|MO|ment|I|seem|TO|be.there					
	IN|a|MO|ment.i|SEEM|to|BE|there					
	in.a|MO|ment.i|SEEM|to|BE|there					
	IN|a|MO|ment.i|SEEM|to.be|THERE					
But alas! recollection at hand	BUT|al.as|REC|ol|LEC|tion|AT|hand					
	BUT|al.as|REC|ol|LEC|tion.at|HAND					
Soon hurries me back to despair.	soon|HUR|ries.me|BACK|to.de|SPAIR	2				
	SOON|hur|RIES|me|BACK|to|DE.SPAIR					
	SOON|hur|RIES|me|BACK|to.de|SPAIR					
	SOON|hur.ries|ME|back|TO|de|SPAIR					
	soon|HUR|ries|ME|back|TO|de|SPAIR					
	soon|HUR|ries.me|BACK|to|DE.SPAIR					
But the sea-fowl is gone to her nest,	BUT|the|SEA|fowl|IS|gone|TO|her|NEST					
	but|THE|sea|FOWL|is|GONE|to|HER|nest					
	but|THE|sea|FOWL|is|GONE|to.her|NEST					
	but.the|SEA|fowl|IS|gone|TO|her|NEST					
The beast is laid down in his lair,	THE|beast|IS|laid|DOWN|in|HIS|lair					
	THE|beast|IS|laid|DOWN|in.his|LAIR					
	the|BEAST|is|LAID|down|IN|his|LAIR					
	the|BEAST|is|LAID|down.in|HIS|lair					
Even here is a season of rest,	ev.en|HERE|is.a|SEA|son.of|REST	2				
	EV|en|HERE|is.a|SEA|son|OF|rest					
	EV|en|HERE|is.a|SEA|son.of|REST					
	ev|EN|here|IS|a|SEA|son|OF|rest					
	ev|EN|here|IS|a|SEA|son.of|REST					
	ev.en|HERE|is.a|SEA|son|OF|rest					
	EV|en.here|IS|a|SEA|son|OF|rest					
	EV|en.here|IS|a|SEA|son.of|REST					
And I to my cabin repair.	and|I|to.my|CAB|in.re|PAIR [*Bounded]	2			1	
	AND|i|TO|my|CAB|in|RE.PAIR					
	AND|i|TO|my|CAB.IN|re|PAIR					
	and|I|to.my|CAB|in|RE.PAIR					
	and|I|to.my|CAB.IN|re|PAIR					
	and.i|TO|my|CAB|in|RE.PAIR					
	and.i|TO|my|CAB.IN|re|PAIR					
There is mercy in every place,	there.is|MER|cy.in|EV|er.y|PLACE	2				
	THERE|is|MER|cy.in|EV|er|Y|place					
	THERE|is|MER|cy.in|EV|er.y|PLACE					
	THERE|is|MER|cy.in|EV.ER|y|PLACE					
	THERE|is.mer|CY|in|EV|er|Y|place					
	THERE|is.mer|CY|in|EV|er.y|PLACE					
	THERE|is.mer|CY|in|EV.ER|y|PLACE					
	there.is|MER|cy.in|EV|er|Y|place					
	there.is|MER|cy.in|EV.ER|y|PLACE					
	THERE|is|MER|cy.in|EV|ery|PLACE					
	THERE|is.mer|CY|in|EV|ery|PLACE					
	there.is|MER|cy.in|EV|ery|PLACE					
And mercy, encouraging thought!	AND|mer|CY|en|COUR|ag|ING|thought					
	AND|mer|CY|en|COUR|ag.ing|THOUGHT					
	and.mer|CY|en|COUR|ag|ING|thought					
	and.mer|CY|en|COUR|ag.ing|THOUGHT					
Gives even affliction a grace,	GIVES|ev|EN|af|FLIC|tion|A|grace					
	GIVES|ev|EN|af|FLIC|tion.a|GRACE					
	GIVES|ev.en|AF.FLIC|tion|A|grace					
	GIVES|ev.en|AF.FLIC|tion.a|GRACE					
	gives|EV|en|AF.FLIC|tion|A|grace					
	gives|EV|en|AF.FLIC|tion.a|GRACE					
And reconciles man to his lot.	and|REC|on.ciles|MAN|to.his|LOT [*Bounded]	2	1			
	AND|rec.on|CILES|man|TO|his|LOT					
	and|REC|on|CILES|man|TO|his|LOT					
Just for a handful of silver he left us,	JUST|for.a|HAND|ful.of|SIL|ver.he|LEFT|us	2				
	JUST|for.a|HAND|ful.of|SIL|ver|HE|left|US					
	just|FOR|a|HAND|ful.of|SIL|ver|HE|left|US					
	just|FOR|a|HAND|ful.of|SIL|ver.he|LEFT|us					
Just for a riband to stick in his coat	JUST|for.a|RI|band.to|STICK|in.his|COAT	2				
	JUST|for.a|RI|band|TO|stick|IN|his|COAT					
	JUST|for.a|RI|band.to|STICK|in|HIS|coat					
	JUST|for.a|RI.BAND|to|STICK|in|HIS|coat					
	JUST|for.a|RI.BAND|to|STICK|in.his|COAT					
	just|FOR|a|RI|band|TO|stick|IN|his|COAT					
	just|FOR|a|RI|band.to|STICK|in|HIS|coat					
	just|FOR|a|RI|band.to|STICK|in.his|COAT					
	just|FOR|a|RI.BAND|to|STICK|in|HIS|coat					
	just|FOR|a|RI.BAND|to|STICK|in.his|COAT					
Found the one gift of which fortune bereft us,	FOUND|the.one|GIFT|of.which|FOR|tune.ber|EFT|us	2			1	
	FOUND|the|ONE|gift|OF|which|FOR|tune|BER|eft|US		1			
	FOUND|the|ONE|gift|OF|which|FOR|tune|BER|eft.us		1			
	FOUND|the|ONE|gift|OF|which|FOR|tune|BER.EFT|us			1		
	FOUND|the|ONE|gift|OF|which|FOR|tune.ber|EFT|us				1	
	FOUND|the|ONE|gift|OF|which|FOR.TUNE|ber|EFT|us			1		
	FOUND|the.one|GIFT|of|WHICH|for|TUNE|ber|EFT|us		1			
	found|THE|one|GIFT|of|WHICH|for|TUNE|ber|EFT|us		1			
	FOUND|the|ONE|gift|OF|which.for|TUNE|ber|EFT|us		1			
	FOUND|the.one|GIFT|of.which|FOR|tune|BER|eft|US		1			
	FOUND|the.one|GIFT|of.which|FOR|tune|BER|eft.us		1			
	FOUND|the.one|GIFT|of.which|FOR|tune|BER.EFT|us			1		
	FOUND|the.one|GIFT|of.which|FOR.TUNE|ber|EFT|us			1		
	found|THE|one|GIFT|of.which|FOR|tune|BER|eft|US		1			
	found|THE|one|GIFT|of.which|FOR|tune|BER|eft.us		1			
	found|THE|one|GIFT|of.which|FOR|tune|BER.EFT|us			1		
	found|THE|one|GIFT|of.which|FOR|tune.ber|EFT|us				1	
	found|THE|one|GIFT|of.which|FOR.TUNE|ber|EFT|us			1		
Lost all the others she lets us devote;	LOST|all.the|OTH|ers.she|LETS|us.de|VOTE	2				
	lost|ALL|the|OTH|ers|SHE|lets|US|de|VOTE					
	lost|ALL|the|OTH.ERS|she|LETS|us|DE.VOTE					
	lost|ALL|the|OTH.ERS|she|LETS|us.de|VOTE					
	lost|ALL|the|OTH|ers.she|LETS|us|DE.VOTE					
	lost|ALL|the|OTH|ers.she|LETS|us.de|VOTE					
	LOST|all.the|OTH|ers|SHE|lets|US|de|VOTE					
	LOST|all.the|OTH.ERS|she|LETS|us|DE.VOTE					
	LOST|all.the|OTH.ERS|she|LETS|us.de|VOTE					
	LOST|all.the|OTH|ers.she|LETS|us|DE.VOTE					
They, with the gold to give, doled him out silver,	THEY|with|THE|gold|TO|give|DOLED|him.out|SIL|ver					
	THEY|with.the|GOLD|to|GIVE|doled|HIM|out|SIL|ver					
	they|WITH|the|GOLD|to|GIVE|doled|HIM|out|SIL|ver					
	they.with|THE|gold|TO|give|DOLED|him.out|SIL|ver					
