oreb	'ɑ.ɹɛ
expung'd	ɛk.'spʌŋ
thron'd	'θɹɑn
highth	'haɪθ
sanctities	'sɑnk.tɪ.ti
receiv'd	ɹɪ.'siv
beatitude	bi.'æ.tɪt.`jʉː
plac'd	'plæk
unrivall'd	ʌn.'ɹaɪ.vʌl
imbosom'd	ɪm.'bɑ.sʌm
prescrib'd	pɹɪ.'skɹɪb
hearken	'hɑ.kʌ
glozing	'ɡləʊ.zɪŋ
faithless	'feɪθ.lʌ
ingrate	ɪn.'ɡɹeɪ
despoil'd	dɪ.'spɔɪl
rul'd	'ɹʌl
dispos'd	dɪ.'spɑz
foreknew	'fɔːkən.`jʉː
unforeknown	ʌn.'fɔː.`nəʊ
immutably	ɪ.'mjʉː.tʌ.blɪ
unchangeable	ʌn.'tʃeɪn.dʒʌ.bʌ
deprav'd	dɪ.'pɹæv
deceiv'd	dɪ.'siv
diffus'd	dɪ.'fʌz
wherewith	wəː.'wɪð
lov'd	'lʌv
judgest	'dʒʌ.dʒʌs
nought	'nɔː
unmake	ʌn.'meɪ
blasphem'd	'blɑ.sfʌm
effectual	ɪ.'fɛk.tʃʉː.ʌ
sav'd	'sæv
vouchsaf'd	'vaʊtʃ.sæf
betimes	bɪ.'taɪm
intercessour	`ɪn.tʌ.'sɛ.sʌ
adjudg'd	æ.'dʒʌdʒ
fulness	'fʌl.nʌ
speediest	'spi.dɪ.ʌs
unprevented	ʌn.pɹɪ.'vɛn.tɪ
unimplor'd	`ʌ.nɪm.'plɔː
unsought	ʌn.'sɔː
unspotted	ʌn.'spɑ.tɪ
vanquisher	'væn.kwɪ.ʃʌ
maugre	'mɔː.ɡʌ
carcase	'kɑ.keɪ
reconcilement	'ɹɛ.kʌn.`saɪl.mʌn
complacence	kʌm.'pleɪ.sʌn
canst	'kæns
unrighteous	ʌn.'ɹaɪ.tʃʌ
ransomed	'ɹæn.sʌm
quitted	'kwɪ.tɪ
princedoms	'pɹɪns.dʌm
triumphing	'tɹaɪ.ʌm.fɪŋ
scepter	'sɛp.tʌ
hosannas	hʌ.'sæ.nʌ
inwove	ɪn.'wəʊ
amarant	'æ.mʌ.`ɹæn
offence	ʌ.'fɛn
fount	'faʊn
elysian	ɛ.'lɪ.zeɪ.ʌ
inwreathed	ɪn.'ɹið
garlands	'ɡɑ.lʌnd
impurpled	ɪm.'pəː.pʌl
quivers	'kwɪ.vʌ
raptures	'ɹæp.tʃʌ
sit'st	'sɪts
shadest	'ʃeɪ.dʌs
similitude	'sɪ.mɪ.`lɪt.jʉː
effulgence	ɪ.'fʌl.dʒʌn
dominations	`dɑ.mɪ.'neɪ.ʃʌn
drovest	'dɹəʊ.vʌs
disarrayed	`dɪ.sæ.'ɹeɪ
purposed	'pəː.pʌs
unexampled	`ʌ.nɛɡ.'zɑm.pʌl
saviour	'seɪ.vjʌ
disjoin	dɪs.'dʒɔɪ
hymning	'hɪ.mɪŋ
opacous	ɑ.'pæ.kʌ
inferiour	ɪn.'feɪ.ʌ.ɹɪ.ʌ
alighted	æ.'laɪ.tɪ
starless	'stɑ.lʌ
vultur	'vʌl.tʃʌ
imaus	ɪ.'maʊ
yeanling	'jin.lɪŋ
hydaspes	'haɪ.dɑsp
sericana	`sɛ.ɹɪ.'kɑ.nʌ
chineses	tʃaɪ.'ni.zɪ
cany	'keɪ.ni
waggons	'wæ.ɡʌn
aereal	'əː.ɹeɪ.ʌ
vapours	'veɪ.pʌ
unaccomplished	ʌ.næ.'kɑm.plɪʃ
unkindly	ʌn.'kaɪnd.li
sennaar	sɛ.'nɑ
babels	'beɪ.bʌl
empedocles	ɛm.'pɛ.dɑ.kʌl
cleombrotus	klɪ.'ɑm.bɹɑ.tʌ
eremites	ɪ.'ɹɛ.maɪt
trumpery	'tɹʌm.pʌ.ɹi
golgotha	ɡʌl.'ɡɑ.θʌ
crystalling	'kɹɪ.stɔː.lɪŋ
cowls	'kaʊl
tost	'tɑs
reliques	ɹɪ.'lik
upwhirled	'ʌp.wəːl
unpeopled	ʌn.'pi.pʌl
untrod	ʌn.'tɹɑ
descries	dɪ.'skɹeɪ
frontispiece	'fɹʌn.tɪz.`pi
padan	'pæ.dʌ
aram	'æ.ɹæ
viewless	'vjʉː.lʌ
behests	bɪ.'hɛst
paneas	'peɪ.neɪ.ʌ
beersaba	'beɪ.ʌ.ʌ.'sɑ.bʌ
glistering	'ɡlɪ.stʌ.ɹɪŋ
pinnacles	'pɪ.nʌ.kʌl
gilds	'ɡɪld
seised	'saɪz
atlantick	æt.'lɑn.tɪ
precipitant	pɹɪ.'sɪ.pɪ.tʌn
eccentrick	'ɛk.sɪn.`tɹɪ
magnetick	'mæɡ.nɪ.`tɪ
wonderously	'wʌn.dʌ.ɹʌ.sli
optick	'ɑp.tɪ
carbuncle	'kɑ.bʌŋ.kʌ
chrysolite	'kɹaɪ.sʌ.`laɪ
proteus	'pɹəʊ.tɪ.ʌ
limbeck	'lɪm.bɛ
chemick	'kɛ.mɪ
humour	'hjʉː.mʌ
colour	'kʌ.lʌ
undazzled	ʌn.'dæ.zʌl
tiar	'taɪ.ʌ
journey's	'dʒəː.nɪ
uriel	'jʊə.ɹi.ʌ
accosts	æ.'kɑst
authentick	ɔː.'θɛn.tɪ
wonderous	'wʌn.dʌ.ɹʌ
quires	'kwaɪ.ʌ
dissembler	dɪ.'sɛm.blʌ
unperceived	ʌn.pʌ.'siv
wisdom's	'wɪs.dʌm
uprightness	'ʌ.pɹaɪt.nʌ
infinitude	ɪn.'fɪ.nɪt.`jʉː
hasted	'heɪ.stɪ
orbicular	ɔː.'bɪ.kjʊə.lʌ
interposes	`ɪn.tʌ.'pəʊ.zɪ
triform	'tɹaɪ.fɔː
superiour	sʉː.'peɪ.ʌɹ.jʌ
ecliptick	ɪ.'klɪp.tɪ
aery	'əː.ɹi
niphates	'nɪ.feɪt
iv	`ɹəʊ.mʌn.'fɔː
revenged	ɹɪ.'vɛndʒ
tempter	'tɛmp.tʌ
horrour	'hɑ.ɹʌ
slumbered	'slʌm.bʌ
lookest	'lʊə.kʌs
recompence	`ɹi.kʌm.'pɛn
sdeined	'ɛs.'deɪn
hadst	'hæds
rues	'ɹʉː
vaunts	'vɔːnt
unsay	ʌn.'seɪ
punisher	'pʌ.nɪ.ʃʌ
exil'd	ɛɡ.'zɪl
distempers	dɪ.'stɛm.pʌ
artificer	'ɑ.tɪ.fɪ.sʌ
practised	'pɹæk.tɪs
demeanour	dɪ.'mi.nʌ
unobserved	ʌ.nɑb.'zəːv
upgrew	ʌp.'ɡɹʉː
insuperable	ɪn.'sʉː.pʌ.ɹʌ.bʌ
stateliest	'steɪt.li.ʌs
verdurous	'vəːd.jʊə.ɹʌ
upsprung	'ʌp.spɹʌŋ
goodliest	'ɡʊəd.li.ʌs
loaden	'ləʊ.dʌ
enamelled	ɪ.'næ.mʌl
landskip	'lænd.skɪ
odoriferous	`əʊ.dʌ.'ɹɪ.fʌ.ɹʌ
mozambick	'mɑ.zæm.`bɪ
sabean	seɪ.'beɪ.ʌ
araby	'æ.ɹæ.bi
asmodeus	æ.'sməʊ.dɪ.ʌ
tobit's	'tɑ.bɪt
hurdled	'həː.dʌl
unhoard	ʌn.'hɔː
clomb	'klɑ
hirelings	'haɪ.ʌ.lɪŋ
auran	'ɔː.ɹʌ
seleucia	'sɛ.lʉː.ʃʌ
telassar	'tɛ.læ.`sɑ
ingulfed	ɪn.'ɡʌlf
crisped	'kɹɪsp
mazy	'meɪ.zi
errour	'ɛ.ɹʌ
unpierced	ʌn.'peɪ.ʌ.ʌs
imbrowned	ɪm.'bɹaʊn
interposed	`ɪn.tʌ.'pəʊz
palmy	'pɑ.mi
irriguous	ɪ.'ɹɪ.ɡjʉː.ʌ
umbrageous	ʌm.'bɹeɪ.dʒʌ
grots	'ɡɹɑt
mantling	'mɑnt.lɪŋ
fringed	'fɹɪndʒ
mirrour	'mɪ.ɹʌ
enna	ɛ.'næ
proserpine	'pɹəʊ.zʌ.`paɪ
orontes	'ɔː.ɹɑnt
castalian	kɑ.'steɪ.leɪ.ʌ
nyseian	'naɪ.seɪ.ʌ
amalthea	æ.'mæl.θeɪ.ʌ
stepdame	'stɛp.deɪ
abassin	æ.'bæ.sɪ
ethiop	'i.θɪ.ʌ
nilus	'nɪ.lʌ
undelighted	`ʌn.dɪ.'laɪ.tɪ
sanctitude	'sɑnk.tɪt.`jʉː
hyacinthine	'haɪ.æ.`sɪn.θaɪ
forelock	'fɔː.lɑ
dishevelled	dɪ.'ʃɛ.vʌl
ringlets	'ɹɪŋ.ɡlʌt
tendrils	'tɛn.dɹʌl
dishonourable	dɪ.'sɑ.nʌ.ɹʌ.bʌ
nectarine	'nɛk.tɑ.`ɹi
recline	ɹɪ.'klaɪ
damasked	'dæ.mɑsk
savoury	'seɪ.vəː.ɹi
thirsted	'θəː.stɪ
frisking	'fɹɪ.skɪŋ
ramped	'ɹæmp
